The Pied Pipers,"Lambert, Hendricks & Ross"
Jellyfish,Fun.
The Feelies,Pavement
Gong,Spiritualized
John Cage,Throbbing Gristle
Muddy Waters,Steppenwolf
Def Leppard,Firehouse
The Winans,Kirk Franklin
Richard Pryor,Steve Martin
Ray Price,Wayne Hancock
Celtic Frost,Sleep
Frank Sinatra,Pat Boone
Minutemen,Saint Vitus
Spice Girls,Play
Lyres,The Vines
Classics IV,Atlanta Rhythm Section
Sammy Hagar,Ugly Kid Joe
The Lovin' Spoonful,Country Joe & the Fish
Flatt & Scruggs,Old Crow Medicine Show
Marvin Gaye,Jaheim
New Order,Paul Oakenfold
Willie Dixon,Muddy Waters
Tom Waits,PJ Harvey
Death Cab for Cutie,gnash
Soft Cell,The Communards
Nina Hagen,Sonic Youth
Suzanne Vega,Ani DiFranco
Neil Young,John Hiatt
Jeff Beck,Jonny Lang
The Cure,Dead Can Dance
Tom T. Hall,Tracy Lawrence
Echo & the Bunnymen,Ride
Rush,Night Ranger
Commissioned,Israel & New Breed
Placebo,Coldplay
Kris Kristofferson,Chris Knight
David Bowie,Pixies
Philip Glass,Aphex Twin
The Beau Brummels,The Nerves
Bill Evans,Jim Brickman
Gang of Four,Chromatics
Charlie Rich,Daniel O'Donnell
Whitney Houston,Britney Spears
Aerosmith,Testament
George Strait,Canaan Smith
Clannad,Loreena McKennitt
The Smiths,Beirut
Roy Orbison,Johnny Hallyday
Faces,Joe Walsh
Superchunk,Weezer
The Flying Burrito Brothers,The Bottle Rockets
Carl Perkins,Dick Dale
David Axelrod,DJ Shadow
The Human League,Saint Etienne
Esther Phillips,Whitney Houston
Badfinger,Gin Blossoms
Joe Williams,Jon Hendricks
Jimmy Smith,Lonnie Liston Smith
Fad Gadget,Pet Shop Boys
Fats Domino,Snooks Eaglin
Creedence Clearwater Revival,The Strokes
The Roches,Indigo Girls
Lisandro Meza,Carlos Vives
Rage Against the Machine,Deftones
The Cars,Nerf Herder
Tom Waits,Regina Spektor
Ramones,Hanoi Rocks
Gerry & the Pacemakers,Golden Earring
The Beatles,The Zombies
Jimi Hendrix,Brian May
Radiohead,Arcade Fire
The Beatles,The Angels
The Beach Boys,Grandaddy
War,Commodores
Ben Folds,Jamie Lawson
Bowling for Soup,Cute Is What We Aim For
Popol Vuh,Jai Uttal
The Stanley Brothers,Dillard & Clark
Hubert Sumlin,Frank Zappa
The Gap Band,Keith Sweat
Pat Martino,John Scofield
Motrhead,Lita Ford
Yes,Peter Hammill
Ray Charles,Ricky Skaggs
Kool & the Gang,Ready for the World
INXS,Boyzone
DJ Shadow,Kasabian
Rites of Spring,Dashboard Confessional
Bob Dylan,The Fugs
Low,Pinback
Dinah Washington,Diane Schuur
The Yardbirds,Canned Heat
Bon Jovi,Trixter
George Jones,Neko Case
The Animals,The Greenhornes
The Kinks,Aerosmith
Otis Redding,James Morrison
Pete Seeger,Billy Bragg
Queen,'Til Tuesday
Jimmy Witherspoon,Van Morrison
Merle Haggard,Kris Kristofferson
Tangerine Dream,Kitaro
The Beatles,The Bats
David Bowie,Kaiser Chiefs
Thelonious Monk,McCoy Tyner
Bjrk,Kimbra
AC/DC,The White Stripes
Johnny Hartman,O.V. Wright
Grateful Dead,Tangerine Dream
Ian & Sylvia,Poco
The Beach Boys,Sam Phillips
The Drifters,The Cleftones
